Flight No.,Version Booster,Launch site,Payload,Orbit,Customer,Launch outcome,Payload mass,Booster landing,Date,Time
97,F9 B5,CCAFS,GPS III,MEO,USSF,"Success
","4,311 kg",Success,5 November 2020,23:24:23
98,F9 B5,KSC,Crew-1,LEO,NASA (CCP)[497],"Success
","~12,500 kg",Success,16 November 2020,00:27
99,F9 B5,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),LEO,NASA / NOAA / ESA / EUMETSAT,"Success
","1,192 kg",Success,21 November 2020,17:17:08
100,F9 B5 ♺,CCAFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,25 November 2020,02:13
101,F9 B5 ♺,KSC,SpaceX CRS-21,LEO,NASA (CRS),"Success
","2,972 kg",Success,6 December 2020,16:17:08
102,F9 B5 ♺,CCSFS,SXM-7,GTO,Sirius XM,"Success
","7,000 kg",Success,13 December 2020,17:30:00
103,F9 B5 ♺,KSC,NROL-108,LEO,NRO,"Success
",C,Success,19 December 2020,14:00:00
104,F9 B5,CCSFS,Türksat 5A,GTO,Türksat,"Success
","3,500 kg",Success,8 January 2021,02:15
105,F9 B5B1051.8,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,20 January 2021,13:02
106,F9 B5B1058.5,CCSFS,Transporter-1,SSO,Various,"Success
","~5,000 kg",Success,24 January 2021,15:00
107,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,4 February 2021,06:19
108,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Failure,16 February 2021,03:59:37
109,F9 B5 ♺,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,4 March 2021,08:24
110,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,11 March 2021,08:13:29
111,F9 B5 ♺,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,14 March 2021,10:01
112,F9 B5B1060.6,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,24 March 2021,08:28
113,F9 B5 ♺,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,7 April 2021,16:34
114,F9 B5B1061.2,KSC,Crew-2,LEO,NASA (CTS)[497],"Success
","~13,000 kg",Success,23 April 2021,9:49
115,F9 B5B1060.7,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,29 April 2021,03:44
116,F9 B5B1049.9,KSC,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,4 May 2021,19:01
117,F9 B5B1051.10,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,9 May 2021,06:42
118,F9 B5B1058.8,KSC,Starlink,LEO,SpaceX Capella Space and Tyvak,"Success
","~14,000 kg",Success,15 May 2021,22:56
119,F9 B5B1063.2,CCSFS,Starlink,LEO,SpaceX,"Success
","15,600 kg",Success,26 May 2021,18:59
120,F9 B5B1067.1,KSC,SpaceX CRS-22,LEO,NASA (CRS),"Success
","3,328 kg",Success,3 June 2021,17:29
121,F9 B5,CCSFS,SXM-8,GTO,Sirius XM,"Success
","7,000 kg",Success,6 June 2021,04:26
